一,one,yī,,
二,two,èr,,
三,three,sān,,
四,four,sì,,
五,five,wǔ,,
六,six,liù,,
七,seven,qī,,
八,eight,bā,,
九,nine,jiǔ,,
十,ten,shí,,
口,mouth,kǒu,,
目,eye,mù,,
古,ancient,"gǔ<br><br>pictograph of gravestone. Someone ancient is surely dead<br>BONUS and has likely turned into GOO by now<br><br><br>古 was originally composed of a shield (毌, now written 十) and a distinguishing mark, 口, to indicate the original meaning “sturdy, solid.” ",,
胡,recklessly,"""hú<br><br>people <b>wrecklessly</b>&nbsp;playing in a graveyard during the fullmoon (note: seems not to be used on it's own, but as a pronounciation and semantic tool<br>胡说 - húshuō = gibberish)<br><br>BONUS - think of a graveyard at night, accompanied by the sound of an owl """"hoo"""". Or  WHO is playing in the graveyard?<br><br>胡 hú is composed of 古 gǔ and 月 “meat; flesh,” hinting at the original meaning “the part of a cow’s lower jaw that droops down.” 古 gives the sound. """,,
吾,I (literary),"wú<br><br>I am nothing more than 5 major body parts (2 arms, 2 legs, 1 head) and a mouth.<br><br>Note: classical, and more often means I, instead of my/mine",,
朋,companion,"""péng<br><br>Two moons together because they're buddies (or two """"pieces of flesh"""")<br><br>朋 originally depicted someone carrying two strands of jade discs, indicating the original meaning “someone carrying two strands of disc-shaped jade beads.” The person has been left out of the modern form and both strands of jade discs have corrupted into 月, which here, is an empty component. """,,
明,bright<br>,"míng<br><br>(the sun and moon are the brightest astronomical objects in the sky) ming, fr tomorrow (ming tian), night follows day meaning it's tomorrow<br><br>Or<br>The brightness from the moon comes from the sun",,
唱,sing,"chàng<br><br>From sun up to sun down, singing all in the middle of the day<br><br>(pronunciation comes from the stacked sun's, all the have a Chang sound to them also:倡娼猖 + many more)<br><br>BONUS Kind of like  chanter/chant/cantar",,
晶,sparkling,jīng<br><br>Zoom into a small sparkling crystal and see the sparkling comes from a bunch of tiny suns<br><br>BONUS: sparkling is usually accompanied by jingling,,
品,goods,"pǐn<br><br>You're standing in the market selling goods, all you see are the yelling mouths trying to buy your merchandise. Perhaps you're selling pins? ",,
昌,prosperous,chāng<br><br>Two sun's of tatooine was at least prosperous for Luke. Sounds like sung which also looks similar chàng,,
早,early,zǎo<br><br>10 in the morning is early for some people,,
旭,"rising sun, dawn, brightness","""xù <-- ü<br><br>9 planets surround our bright sun<br>Bonus:  actually 8 because we """"shoo'd"""" away pluto (or people are """"sue""""-ing to make it 9 again<br><br>旭 xù is composed of 九 jiǔ and 日 """"the sun; light; period of time,"""" pointing to the original meaning """"sunrise."""" 九 gives the sound.""",,
世,"Lifetime, generation","shì<br><br>Lit. thirty 十十十 → 卅 → 世<br>Bonus: during your lifetime, you just have to 'be' (shì) ",,
胃,stomach<br><br>Food from the fields and flesh are digested here. Or it looks like abs and a colon<br>BONUS: this is the WAY out,wèi,,
旦,daybreak,"""dàn<br><br>Easy to remember """"dawn"""", also the image looks like a rising sun""",,
凹,concave,"""āo<br><br>Picture self explanatory, saying the word like """"ow"""" makes your mouth into the shape of a cavity""",,
凸,"convex, protrude, stick out",tū<br><br>Looks like an upside down T? Which protrudes upward and hints at the pronunciation,,
自,oneself,zì,,
白,white,bái<br><br>Apparently it's a pictograph of a rice grain which is white. But also the sun is white. Can you go ¿BUY? rice,,
百,hundred,"bǎi<br><br>Sound comes from white (bái),  1 is the - on top (one handful of rice is about 100 grains) ",,
皂,soap,zào<br><br>Pronunciation comes from the appearance to zăo (morning) on top<br><br>A fancy soap with scents from 7 rice varieties (use it in the morning) ,,
中,middle,zhōng,,
千,thousand,qiān,,
舌,tongue,"shé<br><br>She? doesn't talk so well with her tongue cut off<br><br>There are two origins for 舌: 舌 and 𠯑. See 舌(舌) and 舌(𠯑) for more information.<br><br>The bottom of 舌(舌) is a picture of a mouth. The top is a tongue sticking out of the mouth with a few dots around it representing spit. The original meaning is “tongue.” In the modern form, the tongue and the dots have merged into 千.",,
升,liter<br>(also rising) ,"""shēng<br><br>With a liter of this I (looks like """"me"""" a little) will rise up""",,
丸,"pill, ball, pellet","wán<br><br>Holding a pill for pain, as have 9 fingers, one was cut off. You WANt another pill or finger",,
卜,"divination, predict, foretell","""bǔ<br><br>This is a tea leaf for prediction<br>Pronunciation: We know bu for """"not""""<br><br>卜 depicts cracks in a tortoise shell or ox bone used in ancient divination. Its original meaning is “the process of cracking tortoise shells or ox bones for purposes of divination.” """,,
占,tell fortunes,"zhān<br><br>Bu, for the prediction, mouth for telling. Maybe the fortune teller is named <b>John</b><br><br>占 depicts cracks (卜) in a turtle shell and a hole (口) drilled into the shell during the divination process. Its original meaning is “observing cracks in oracle bones for the purpose of divination.” ",,
上,above,shàng<br><br>Shanghai has tall buildings that tower above the rest,,
下,below,xià,,
卡,card,"""kǎ<br><br>Playing """"kards"""" are usually squeezed by others above and below""",,
卓,"eminent, outstanding, standing upright","""zhuó<br><br>Looks like a grain of rice balancing on the end of a stick<br><br>Gives sound to """"table""""  桌子 zhuōzi""",,
朝,dynasty,"""cháo<br><br>in the morning the sun 日 overpowers the moon 月 many times 十十 in strength; the shining light of a dynasty overpowers everybody like the sun in the morning.<br><br>Or it looks like a kabob and meat, """"chow"""" (food) and we celebrate the new dynasty with this meal<br><br>朝 zhāo (or cháo) is a depiction of the sun (日) rising through vegetation (十, the two are combined as 龺), while the moon (月) is still visible, together indicating the original meaning “morning.”""",,
嘲,ridicule,cháo<br><br>A mouth 口 can ridicule anything even a powerful dynasty 朝 (sound comes from this)<br><br>Or he'll only talk during chow to riducle others,,
只,only,"""zhǐ<br><br>mouth 口 of a person 人 = words are just words, words are only words, words are simply words<br><br>Zhi is kind of like French je, for me """"only me"""" """,,
贝,shellfish,bèi<br><br>Person in shell... basically a shellfish which you find down by the BAY,,
贴,paste,tiē<br><br>I PREDICT you can crush up SHELLs to make a paste (like cement for sure)<br>Or<br>This shellfish likes to tell fortunes. But it can't speak so it uses paste to put up its predictions it writes<br><br>Gluing things is like TIE-ing them together<br><br>,,
贞,"Loyal, faithful (chaste) ","zhēn<br><br>Really (~faithfully) (Zhen de)  for the pronunciation<br><br>I can faithfully make predictions with shells<br><br>贞 zhēn is composed of 贝 and 卜 “a crack in a turtle shell; divination,” which indicates the original meaning “divination.”",,
员,employee,"yuán<br><br>Eg. 服务员<br><br>Employees want yuan which is a currency somewhere. They just want money (mouth drooling over shells (money))<br><br>员 is a picture of a cauldron (originally 鼎, written 贝 in the modern form) with a circle above it (now written 口) to suggest the roundness of the cauldron opening, hinting at the original meaning “round.” It is the original form of 圆. ",,
见,"see, meet",jiàn<br><br>Jen can't see with that bag over her head ,,
元,beginning,"yuán<br><br>In the beginning, money (yuan) motivates me to begin, leave it on the table<br><br>Originally this was a pictograph emphasizing someone's head (head, origin, primary) ",,
页,page,yè,,
顽,"stubborn, stupid ","wán<br><br>Juan put a dollar sign on a page, he thinks I'm dumb, (he's stubborn)<br><br>Or<br><br>Juan is stubborn, he refuses to start reading even the first page<br><br>顽 wán is composed of 元 yuán and 页 “a person with the head emphasized; head,” pointing to the original meaning “a person that is stupid and ignorant.” 元 gives the sound.",,
凡,ordinary,"fán<br><br>Just an ordinary table with a fan inside of it<br><br>凡 depicts a large, wooden tray, used to carry people, indicating the original meaning “type of wooden tray (probably used to carry a person).” It is the original form of 盤. ",,
肌,muscle,jī<br><br>Use your muscles to lift the table,,
负,"defeated, bear the burden","fù<br><br>This shell has been cracked, defeated, now we can eat FUd (food)<br><br>负 is composed of person (񁚩) and seashell (贝), indicating the original meaning “to carry things on one’s back.” Seashells are often used to indicate valuable objects, in this case, the objects being carried on the back. ",,
匀,uniform (evenly divided) ,yún<br><br>Reaching into a box to divide the... Money? (Yun is kind of like yuan) ,,
句,sentence,jù<br><br>Or wrap your mouth if you're gonna sneeze (achoo=jù) in the middle of your sentence,,
旬,"Period of 10 days, 10 years, or just a period","xún<br><br>Some planets can wrap around the <b>sun</b> in a period 10 days or 10 years! <br><br>旬 is composed of 勹 and 日 “the sun; light; period of time,” which indicates the original meaning “period of 10 days.”",,
勺,ladle,sháo<br><br>SHAOlin monks could probably turn a spoon/ladle into a weapon,,
的<br>(2),bull's eye AND auxiliary to show belonging ,"de<br><br>Rice and spoon belong together, that's a bulleseye My mother (wo de mama) ",,
首,"head, leader","shǒu<br><br>Let's use this mountain goat as our eyes to SHOW us the way<br><br>首 depicts the side view of a person’s head, indicating the original meaning “person’s head.” The top shows tufts of hair and the dot is an eye. ",,
直,straight,"zhí<br><br>Take a wrench and cut off the bottom part to get a straight stick. Of course if you do that, you're a JERk",,
置,set up,"""zhì<br><br>Put your eye directly over during the setup to make sure it's straight<br><br>Sound comes from """"straight"""", except it falls instead of rises. """,,
具,tool,"""jù<br><br>Looks like a small tool, for handling """"jewels"""" """,,
真,true,zhēn<br><br>A true mechanic has over 10 tools,,
工,work,gōng,,
左,left,zuǒ<br><br>Left handed people have to do more work to use tools. And uǒ sounds a bit more like a complaining sound than ǒu,,
右,right,"yòu<br><br>Right handed people are lucky, they can talk (yo man!) without focusing too much. (only makes sense when compared with left hand) ",,
有,possess,yǒu,,
贿,bribe,"""huì<br><br>Have money I can (huì as in """"ni huì shuo putonghua"""" ) bribe with """,,
贡,tribute,"gòng<br><br>Sound comes from gong (work), use tool to crush (sacrifice for tribute) shells (currency) ",,
