date,count
01 Aug 2021, 0
26 Dec 2021, 800
14 Feb 2022, 1600
30 May 2022, 1926
26 Sep 2022, 2305
24 Dec 2022, 2530
05 Feb 2023, 2807
20 Feb 2023, 3058
13 Mar 2023, 3300
23 Mar 2023, 3400
04 Apr 2023, 3500
11 Apr 2023, 3600
25 Apr 2023, 3700
02 May 2023, 3800
14 May 2023, 3900
27 May 2023, 4000
10 Jun 2023, 4100
15 Jul 2023, 4200
05 Aug 2023, 4300
23 Aug 2023, 4400
17 Sep 2023, 4500
14 Oct 2023, 4600
16 Nov 2023, 4700
01 Jan 2024, 4800
22 Jan 2024, 4900
18 Feb 2024, 5000
13 Apr 2024, 5100
09 Jun 2024, 5200
07 Jul 2024, 5300
01 Aug 2024, 5400
18 Aug 2024, 5500
